acc,pctl
87.71,98.10355
87.7,98.1038
87.69,98.10753
87.68,98.11675
87.67,98.11775
87.66,98.12921
87.65,98.12996
87.64,98.13968
87.63,98.14516
87.62,98.15039
87.61,98.15338
87.6,98.15662
87.59,98.15911
87.58,98.16185
87.57,98.16285
87.56,98.1641
87.5,98.16434
87.43,98.23112
87.42,98.23187
87.41,98.23337
87.4,98.23561
87.39,98.23735
87.38,98.24034
87.37,98.24408
87.36,98.24707
87.35,98.25155
87.34,98.2523
87.33,98.25878
87.32,98.25953
87.31,98.26551
87.3,98.2675
87.29,98.27572
87.27,98.27797
87.26,98.28893
87.25,98.28918
87.23,98.29292
87.22,98.30538
87.21,98.30662
87.2,98.31185
87.18,98.31285
87.17,98.32681
87.16,98.32705
87.15,98.32955
87.14,98.3298
87.13,98.33677
87.12,98.34026
87.1,98.34151
87.08,98.36044
87.07,98.36069
87.06,98.36368
87.05,98.36916
87.04,98.37016
87.03,98.37764
87.02,98.37789
87.01,98.37938
87,98.3881
86.99,98.39284
86.98,98.39632
86.96,98.39707
86.93,98.41626
86.92,98.41676
86.9,98.42074
86.89,98.42797
86.88,98.43569
86.87,98.43644
86.86,98.43993
86.84,98.44167
86.83,98.45538
86.82,98.45563
86.81,98.45588
86.8,98.45986
86.79,98.46011
86.78,98.46759
86.76,98.47033
86.75,98.47955
86.74,98.48727
86.73,98.48752
86.72,98.49201
86.71,98.49325
86.7,98.49475
86.67,98.495
86.64,98.52365
86.63,98.5239
86.62,98.52515
86.61,98.52664
86.6,98.53163
86.59,98.53462
86.57,98.5401
86.56,98.54707
86.55,98.54732
86.54,98.54957
86.52,98.56153
86.51,98.56576
86.5,98.56676
86.49,98.56701
86.47,98.58146
86.46,98.58171
86.45,98.58295
86.44,98.5837
86.43,98.59217
86.42,98.59317
86.41,98.59666
86.4,98.5989
86.39,98.60015
86.36,98.60065
86.34,98.62207
86.33,98.62332
86.32,98.62457
86.31,98.6293
86.3,98.62955
86.29,98.63802
86.27,98.63927
86.26,98.64724
86.25,98.64774
86.24,98.65247
86.23,98.65322
86.21,98.65372
86.19,98.66767
86.18,98.66817
86.17,98.66942
86.16,98.67291
86.15,98.6734
86.14,98.68188
86.13,98.68512
86.11,98.68536
86.09,98.69732
86.08,98.69932
86.07,98.70455
86.06,98.7058
86.05,98.7063
86.03,98.71601
86.02,98.71726
86.01,98.7195
86,98.7205
85.99,98.72897
85.98,98.72947
85.97,98.73046
85.96,98.73071
85.95,98.73744
85.94,98.73794
85.93,98.74417
85.92,98.74542
85.91,98.75115
85.9,98.75164
85.88,98.75563
85.87,98.75937
85.86,98.76211
85.85,98.7656
85.84,98.76659
85.83,98.76734
85.82,98.77008
85.81,98.77158
85.8,98.77208
85.79,98.77282
85.71,98.77307
85.63,98.8254
85.62,98.82615
85.61,98.82714
85.6,98.82914
85.59,98.82964
85.58,98.83163
85.57,98.83387
85.56,98.83611
85.54,98.83761
85.53,98.84284
85.52,98.84783
85.51,98.84832
85.5,98.85455
85.48,98.8548
85.47,98.86228
85.45,98.86327
85.44,98.86975
85.43,98.87249
85.42,98.87274
85.41,98.88146
85.4,98.88171
85.39,98.88296
85.38,98.8852
85.37,98.8857
85.34,98.89492
85.33,98.89567
85.32,98.9019
85.31,98.90314
85.29,98.90439
85.28,98.91211
85.27,98.91236
85.26,98.91261
85.25,98.91535
85.23,98.92058
85.22,98.92308
85.21,98.92382
85.19,98.92457
85.16,98.93753
85.15,98.93827
85.14,98.93977
85.12,98.9455
85.11,98.94675
85.1,98.95323
85.09,98.95347
85.07,98.95497
85.06,98.96095
85.05,98.96419
85.04,98.96668
85.03,98.96743
85,98.96793
84.98,98.98412
84.96,98.98437
84.95,98.98612
84.93,98.98886
84.92,98.99384
84.91,98.99459
84.9,99.00132
84.88,99.00156
84.87,99.00505
84.85,99.0063
84.83,99.01477
84.82,99.01552
84.81,99.01602
84.8,99.01826
84.78,99.01951
84.76,99.02499
84.75,99.02623
84.73,99.03147
84.72,99.03196
84.71,99.03745
84.7,99.04168
84.69,99.04218
84.68,99.04417
84.67,99.04542
84.66,99.04667
84.62,99.04766
84.56,99.07308
84.55,99.07382
84.54,99.07507
84.52,99.07657
84.51,99.07981
84.5,99.08479
84.48,99.08529
84.47,99.08977
84.46,99.09152
84.44,99.09201
84.43,99.09999
84.42,99.10123
84.4,99.10547
84.39,99.10746
84.38,99.10771
84.35,99.11967
84.34,99.12067
84.31,99.12266
84.3,99.1274
84.29,99.1279
84.27,99.13163
84.26,99.13288
84.25,99.13462
84.24,99.13587
84.23,99.13612
84.21,99.13637
84.18,99.15281
84.17,99.15331
84.16,99.15406
84.15,99.15555
84.14,99.15829
84.13,99.15854
84.12,99.16452
84.11,99.16477
84.09,99.16552
84.07,99.17349
84.06,99.17449
84.04,99.17947
84.03,99.18197
84.02,99.18271
84,99.18296
83.97,99.19517
83.96,99.19667
83.95,99.19841
83.94,99.20115
83.93,99.2014
83.92,99.20638
83.91,99.20688
83.9,99.20838
83.89,99.20913
83.87,99.20937
83.85,99.21411
83.84,99.21536
83.82,99.2166
83.81,99.22084
83.8,99.22158
83.78,99.22258
83.77,99.22881
83.76,99.22956
83.75,99.23105
83.74,99.23404
83.72,99.23454
83.7,99.24177
83.69,99.24451
83.67,99.24476
83.65,99.25173
83.64,99.25223
83.63,99.25796
83.62,99.25821
83.61,99.25896
83.59,99.26419
83.58,99.26444
83.57,99.26843
83.56,99.26868
83.54,99.27217
83.53,99.27366
83.52,99.27491
83.51,99.2764
83.5,99.2774
83.49,99.27939
83.48,99.27964
83.47,99.28039
83.46,99.28064
83.45,99.28238
83.44,99.28363
83.43,99.28413
83.41,99.28438
83.33,99.28463
83.25,99.31428
83.24,99.31453
83.22,99.31502
83.21,99.31577
83.2,99.31677
83.19,99.31702
83.18,99.31851
83.17,99.31901
83.16,99.31976
83.15,99.32001
83.13,99.3215
83.12,99.32225
83.1,99.32424
83.09,99.32798
83.08,99.32823
83.06,99.33222
83.05,99.33321
83.04,99.3387
83.03,99.33919
83.02,99.33969
83.01,99.34492
83,99.34517
82.99,99.34592
82.98,99.34617
82.96,99.35115
82.95,99.3519
82.93,99.35539
82.91,99.36112
82.89,99.36137
82.88,99.36386
82.86,99.36411
82.83,99.36909
82.82,99.37009
82.81,99.37034
82.8,99.37333
82.78,99.37458
82.76,99.37483
82.74,99.38081
82.73,99.38105
82.72,99.3813
