diff,pctl
9.2,6.950348
9.2,6.951363
9.2,7.123835
9.2,7.126117
9.2,7.150466
9.19,7.213368
9.19,7.21844
9.19,7.220977
9.19,7.245579
9.18,7.245833
9.18,7.246086
9.16,7.246594
9.14,7.246847
9,7.247101
9,7.250398
9,7.256739
9,7.257246
9,7.517729
9,7.517983
9,7.518997
9,7.523309
8.99,7.527874
8.99,7.541063
8.99,7.544868
8.99,7.546136
8.99,7.565666
8.98,7.566934
8.98,7.567188
8.97,7.567441
8.96,7.567695
8.81,7.567949
8.8,7.568202
8.8,7.629328
8.8,7.660525
8.8,7.663062
8.8,7.863687
8.8,7.86394
8.79,7.878397
8.79,7.878905
8.79,7.893108
8.79,7.893869
8.79,7.894123
8.79,7.89742
8.78,7.911116
8.6,7.91137
8.6,7.917204
8.6,8.002932
8.6,8.003439
8.6,8.049601
8.6,8.050108
8.6,8.052137
8.6,8.226638
8.59,8.227399
8.59,8.257581
8.59,8.258849
8.59,8.2624
8.59,8.268741
8.58,8.268995
8.4,8.269502
8.4,8.270009
8.4,8.454402
8.4,8.456938
8.4,8.457445
8.4,8.50665
8.4,8.596944
8.39,8.602778
8.39,8.603792
8.39,8.6043
8.39,8.604553
8.39,8.640316
8.39,8.641077
8.39,8.642091
8.2,8.645642
8.2,8.665933
8.2,8.66644
8.2,8.889639
8.2,8.892936
8.2,8.924133
8.19,8.997433
8.19,8.997687
8.19,9.003013
8.19,9.00631
8.19,9.033957
8.18,9.03421
8.18,9.034464
8.17,9.034718
8,9.034971
8,9.037507
8,9.044102
8,9.044863
8,9.045117
8,9.401473
8,9.402995
8,9.411365
7.99,9.414916
7.99,9.429373
7.99,9.434699
7.99,9.435714
7.99,9.454229
7.95,9.457019
7.8,9.457273
7.8,9.537168
7.8,9.569379
7.8,9.572169
7.8,9.572676
7.8,9.808557
7.79,9.830116
7.79,9.850406
7.79,9.859791
7.6,9.877292
7.6,9.885662
7.6,10.00233
7.6,10.00284
7.6,10.05636
7.6,10.0594
7.6,10.28082
7.59,10.28133
7.59,10.28159
7.59,10.3143
7.59,10.31583
7.59,10.31988
7.58,10.32673
7.58,10.32699
7.57,10.32724
7.55,10.32749
7.4,10.32775
7.4,10.55779
7.4,10.56084
7.4,10.62171
7.4,10.73534
7.39,10.74523
7.39,10.74548
7.39,10.74599
7.39,10.77947
7.39,10.77998
7.39,10.78074
7.38,10.78378
7.22,10.78404
7.2,10.78429
7.2,10.80585
7.2,10.8061
7.2,11.08485
7.2,11.0851
7.2,11.09043
7.2,11.12543
7.19,11.21597
7.19,11.21674
7.19,11.22181
7.19,11.22434
7.19,11.22511
7.18,11.25605
7,11.2563
7,11.26036
7,11.26898
7,11.26949
7,11.7027
7,11.70295
7,11.70448
7,11.71006
6.99,11.71614
6.99,11.73111
6.99,11.73643
6.99,11.73719
6.99,11.75977
