rank,name,wpm,raw,accuracy,consistency,diff
277,Unsimpleperson,124.19,128.38,93.41,72.59,4.19
278,lonerapple,123.80,123.80,99.52,81.93,0.00
279,dannytypingboi,123.80,128.99,97.99,88.45,5.19
280,elhee,123.80,130.40,97.71,74.12,6.60
281,Dhagon,123.80,127.60,97.22,82.64,3.80
282,Akshit,123.80,131.40,95.50,75.45,7.60
283,mindworks,123.60,126.60,98.90,83.43,3.00
284,stltravis,123.60,124.60,98.73,76.25,1.00
285,vtr_st18,123.60,129.80,95.65,75.58,6.20
286,ionisingTuna,123.59,129.39,96.81,76.52,5.80
287,vasileq,123.40,126.00,97.20,81.57,2.60
288,andpav,123.40,131.60,95.35,80.98,8.20
289,Mr.Lonely,123.35,127.55,95.50,74.59,4.20
290,ssssbb,123.19,128.19,97.82,86.60,5.00
291,Umair,123.18,126.38,97.35,82.83,3.20
292,husamalhssan,123.00,131.80,96.25,71.55,8.80
293,Pillow31,123.00,131.80,95.95,81.71,8.80
294,chetanvaswani,123.00,137.40,93.30,84.67,14.40
295,wendywonton,122.80,129.40,96.18,77.54,6.60
296,P3RSEUS_LYNX,122.79,122.79,96.87,74.21,0.00
297,Pyroxylite,122.79,125.19,96.30,75.69,2.40
298,Abdotheboi,122.79,133.79,95.22,81.27,11.00
299,canvaslol,122.77,129.37,95.22,75.72,6.60
300,dougsyeung,122.60,122.60,100.00,88.54,0.00
301,Hifbikir,122.40,129.60,95.47,81.88,7.20
302,nami_types,122.40,135.00,94.11,84.40,12.60
303,xXato2,122.39,130.39,95.31,81.14,8.00
304,ciacuesta,122.38,122.38,99.19,76.17,0.00
305,HuGood,122.20,122.20,97.31,73.01,0.00
306,angelw1ngs,122.20,122.20,94.39,74.18,0.00
307,Coolgolf,122.19,123.59,95.63,70.68,1.40
308,almantare,122.00,125.00,95.57,82.78,3.00
309,Borpiddy,121.98,124.78,98.41,83.05,2.80
310,Shaniel113,121.80,124.80,96.73,79.57,3.00
311,mintygreen,121.80,128.20,96.16,78.14,6.40
312,VG08,121.78,126.98,94.43,64.48,5.20
313,notreal,121.60,121.60,99.03,79.66,0.00
314,Aramil,121.60,135.20,94.00,83.33,13.60
315,Blueski,121.60,150.20,89.22,76.77,28.60
316,antchil,121.40,126.40,97.47,84.48,5.00
317,wohkrishnahai,121.40,123.80,96.69,74.94,2.40
318,hiter,121.39,123.39,99.35,84.72,2.00
319,osho2110,121.38,121.38,95.92,77.86,0.00
320,MrBinaryMan,121.37,123.77,99.19,86.35,2.40
321,Jythonscript,121.20,122.60,99.35,87.98,1.40
322,giltong,121.20,121.20,96.97,76.76,0.00
323,manv,121.18,125.38,96.54,78.23,4.20
324,OMG_LEG3ND,121.18,125.38,93.14,71.25,4.20
325,Andwy,121.00,130.40,95.74,75.65,9.40
326,uthaya,120.99,121.99,97.59,76.24,1.00
327,Loreago,120.98,129.57,95.27,76.63,8.59
328,zylynx,120.97,141.77,90.72,85.00,20.80
329,synthesize,120.97,135.37,89.86,76.24,14.40
330,ChineseHomeboi,120.80,123.80,98.55,86.25,3.00
331,rconcepcion,120.79,123.99,98.55,84.96,3.20
332,RetroKing,120.77,127.57,97.51,83.61,6.80
333,rhinotree1,120.77,133.37,93.55,85.58,12.60
334,M19604,120.60,122.20,97.59,69.75,1.60
335,andrewbogho,120.60,123.20,95.18,74.84,2.60
336,arijitgupta42,120.60,131.20,94.26,75.97,10.60
337,SkySimBestServer,120.59,124.79,95.47,71.23,4.20
338,nower,120.57,125.57,97.45,84.65,5.00
339,henripru,120.40,122.80,98.06,78.97,2.40
340,keero,120.40,120.40,97.58,76.06,0.00
341,IvanMaestroGTR,120.40,120.40,97.31,78.01,0.00
342,JDP_Burger,120.39,124.59,97.29,82.26,4.20
343,bossman5634,120.38,124.38,96.39,72.32,4.00
344,sainirupesh101,120.18,120.18,96.17,74.61,0.00
345,PlayfairAxiom,120.00,125.40,95.92,81.27,5.40
346,RTM3201,120.00,146.80,88.47,80.33,26.80
347,imnotatryhard,119.99,126.59,97.48,80.01,6.60
348,ashton0901,119.98,126.17,96.68,84.10,6.19
349,80d8ff3d,119.80,128.00,96.41,84.53,8.20
350,Mandl,119.80,125.20,96.24,73.34,5.40
351,Ghazia,119.60,125.80,96.52,80.51,6.20
352,brittanyycc,119.60,127.60,95.65,74.22,8.00
353,phpeek,119.59,121.39,96.33,72.81,1.80
354,BlahajTyping,119.59,126.19,95.98,75.58,6.60
355,CGnielson,119.40,127.80,96.27,81.93,8.40
356,SanchoPanza94,119.39,122.79,97.44,77.99,3.40
357,Diamond_Head,119.39,121.19,97.42,73.64,1.80
358,djgundrum,119.39,122.59,97.28,76.11,3.20
359,davidaxie,119.39,126.39,94.93,77.69,7.00
360,satyam13,119.20,119.20,98.84,75.22,0.00
361,superluminal,119.19,135.99,91.07,77.49,16.80
362,epxh,119.00,134.40,92.59,81.17,15.40
363,ShahidTVwxyz,119.00,136.20,91.35,80.79,17.20
364,Kenz01,118.99,120.79,96.31,74.15,1.80
365,Skipdrill,118.99,118.99,91.43,65.14,0.00
366,TEAUX,118.98,124.58,96.81,82.32,5.60
367,ChopChop4451,118.97,118.97,98.20,70.98,0.00
368,Dainternetdude,118.80,118.80,98.68,80.47,0.00
369,CalvinTheBozo,118.77,120.37,96.47,78.49,1.60
370,oScarDiAnno,118.60,123.60,96.93,82.71,5.00
371,majestic905,118.60,122.20,96.60,80.64,3.60
372,elkoteps,118.60,118.60,96.59,78.80,0.00
373,Saunders121,118.59,118.59,99.83,83.13,0.00
374,hiphophuzzah,118.59,125.59,96.50,81.94,7.00
375,smaqthesnaq,118.53,119.53,99.00,78.94,1.00
376,duckisfun,118.40,128.20,95.53,75.63,9.80
377,zachratso,118.39,120.99,97.24,77.73,2.60
378,RaCl,118.39,122.19,96.97,73.98,3.80
379,rsonaxe,118.39,122.79,96.05,79.07,4.40
380,agm12,118.38,125.58,94.90,75.58,7.20
381,Evalon_,118.19,129.19,94.46,78.81,11.00
382,Aiven,118.19,129.19,93.24,79.21,11.00
383,Geeevin,118.18,121.98,97.72,80.36,3.80
384,josh86,118.17,118.17,99.83,87.66,0.00
385,tomatothomson,118.17,118.97,97.38,78.01,0.80
386,huynt1608,118.00,119.20,99.50,84.97,1.20
387,Shadox,118.00,122.00,97.40,79.20,4.00
388,benjoman,117.99,117.99,100.00,85.72,0.00
389,xuanagon,117.99,127.79,95.93,85.88,9.80
390,CaptainPotter,117.98,121.58,98.85,87.99,3.60
391,MisterKristerAll,117.98,118.98,96.78,76.18,1.00
392,_George.C,117.98,127.98,95.79,84.01,10.00
393,Akhiilesh,117.79,121.19,98.35,81.50,3.40
394,richikosaf,117.60,117.60,98.99,81.47,0.00
395,Matart,117.58,120.58,97.24,82.04,3.00
396,sheneks,117.58,122.37,95.27,75.24,4.79
397,RyzleSalt,117.40,117.40,97.20,74.22,0.00
398,everynowandthen,117.40,118.60,96.28,73.93,1.20
399,wtyperfrlol,117.40,127.00,95.63,75.62,9.60
400,Andy1986,117.40,128.80,94.62,76.82,11.40
401,Villzzz,117.39,124.99,94.54,78.02,7.60
402,acechkl,117.37,120.77,97.07,78.51,3.40
403,yash_bardhan,117.36,125.16,95.85,85.55,7.80
404,okii9,117.20,117.20,98.99,84.25,0.00
405,AMAZON,117.19,117.19,100.00,83.24,0.00
406,Yan.B,117.19,118.39,97.85,73.03,1.20
407,Ahmedahsraf,117.19,123.39,94.62,71.76,6.20
408,Yuurei-_-,117.19,123.19,94.23,73.61,6.00
409,mathewharwich,117.00,120.80,97.06,79.45,3.80
410,mango0_0,117.00,126.40,93.97,77.22,9.40
411,laila.,116.99,116.99,98.66,78.66,0.00
