name,wpm,raw,accuracy,consistency,diff
vochinam,96.58,96.58,96.99,72.59,0
AshinPanic,100.2,103.6,94.36,72.61,3.4
Cedric10,66.2,71.6,95.08,72.62,5.4
abdurrahmanbphs,68.79,69.99,97.78,72.62,1.2
TheBirdWasHere,88,88,97.78,72.62,0
Iwannatouch100,97.2,105.79,93.1,72.63,8.59
CjMicWhite,89.2,90.8,93.97,72.63,1.6
Xavier2878,60.59,60.59,92.71,72.65,0
wawareaver,76.77,76.77,95.78,72.67,0
gabriellb21,72.8,74.2,98.4,72.69,1.4
angelw1ngs,127.6,129.6,96.45,72.7,2
Mycoal,86.2,86.2,96.03,72.7,0
Paradorn.B,60.99,60.99,96.83,72.7,0
epxh,104.4,123.8,89.92,72.72,19.4
Vesper1012,91.4,93.6,96.05,72.72,2.2
rawatvvk122,65.4,66.6,96.76,72.73,1.2
connan,120.8,120.8,96.22,72.76,0
muhammad-attique,69.59,70.39,93.12,72.77,0.8
jooswirls,87.98,88.98,96.3,72.81,1
nevaeh_hdz,59.6,59.6,98.03,72.82,0
LilChaosSapphire,91.2,98,93.74,72.84,6.8
hari_hara_sudhan,85.18,90.78,93.87,72.88,5.6
pingponghikhik,114.39,114.39,98.47,72.89,0
dallas75,66,66,97.06,72.92,0
Nihar_Mandahas,64.4,73.4,91.82,72.97,9
idim,73.79,73.79,94.39,72.98,0
dfletch,84.99,87.79,91.72,73,2.8
Littletree,69.79,69.79,97.76,73,0
KuldeepSingh_,62.6,68.2,93.45,73.01,5.6
Viole01,77.8,78,95.16,73.07,0.2
lauhemahfus,80.19,88.79,92.29,73.09,8.6
Droffle,100.17,100.17,97.7,73.13,0
IsakB102,78.79,80.59,95.75,73.17,1.8
Ego69,63.39,64.19,95.8,73.19,0.8
arshalabbas,77,80.8,96.37,73.2,3.8
ruhroh,106.59,106.59,96.8,73.21,0
meblz,134.6,144.8,92.25,73.25,10.2
ii_bacon,62.39,62.39,96.32,73.25,0
teppu,111.2,111.2,97.72,73.25,0
ericjoji,83.6,83.6,96.15,73.27,0
Sahaj1504,64.39,69.99,92.82,73.28,5.6
Nevik,101.19,101.19,96.44,73.28,0
heptonic,63,82.4,86.3,73.29,19.4
MeRLH1N,92.99,92.99,95.49,73.3,0
olivia268999,78.6,78.6,98,73.31,0
fur1,66.39,76.19,90.96,73.38,9.8
Shankar2004,62.8,62.8,97.82,73.39,0
hashyy,93.39,94.79,93.84,73.42,1.4
sasakugi,63.4,64.6,88.89,73.48,1.2
ktnolan12,89,92.8,94.39,73.49,3.8
notslow,88.2,88.2,98.88,73.5,0
Sohan8,64.59,66.19,96.52,73.51,1.6
lojik,100.6,101.2,95.89,73.6,0.6
Nevermore53_,89.4,89.4,96.15,73.66,0
insolito,82.4,91,93.29,73.78,8.6
amazingD,96,97.8,95.36,73.78,1.8
UCanOrNot,98,100,95.76,73.82,2
rolansy,69,82.4,93,73.85,13.4
HyperCusor,94.19,94.19,97.14,73.91,0
mfermin,69.59,69.59,99.15,73.92,0
Caleb1009,80.99,82.39,98.09,73.93,1.4
AngelaElcanoB107,83.19,83.19,96.34,73.94,0
darkpres,105.99,105.99,98.33,73.94,0
stefanoo,94.2,94.6,91.55,73.96,0.4
